DEPARTMENT_NAME,TITLE,REGULAR,OTHER,OVERTIME,INJURED,DETAIL,QUINN_EDUCATION_INCENTIVE,TOTAL_GROSS
Boston Police Department,Police Officer,,"1,264,843.63",,,,,"1,264,843.63"
Boston Police Department,Police Officer,,"1,252,990.81",,,,,"1,252,990.81"
Boston Police Department,Police Offc Comm Serv Offc 3$8,"69,772.10","212,739.48","82,300.87","30,939.24","12,144.00","25,178.06","433,073.75"
Boston Police Department,Police Officer,"100,963.38","211,900.28","67,849.66",,"9,016.00","10,096.55","399,825.87"
Boston Police Department,Police Offc Comm Serv Offc 3$8,"109,858.02","192,097.54","75,938.65",,"19,550.00",,"397,444.21"
Boston Police Department,Police Sergeant (Det),"127,626.76","124,524.50","66,433.83",,"50,085.00","12,762.78","381,432.87"
Boston Police Department,Police Lieutenant (Det),"142,466.41","15,820.50","167,509.61",,"24,695.00","28,198.49","378,690.01"
Boston Police Department,Police Lieutenant,"143,566.78","16,789.43","109,101.43",,"53,240.00","35,891.85","358,589.49"
Boston Police Department,Police Detective,"107,352.54","16,324.27","76,434.46",,"123,234.00","26,838.11","350,183.38"
Boston Police Department,Police Sergeant (Det),"130,930.12","16,723.95","166,042.24",,,"32,732.73","346,429.04"
Boston Police Department,Police Captain,"157,595.81","24,504.13","49,388.68","6,504.89","64,800.00","41,025.08","343,818.59"
Boston Police Department,Police Sergeant (Det),"130,930.12","19,722.83","109,031.27",,"46,587.00","32,732.73","339,003.95"
Boston Fire Department,Dep Fire Chief,"187,602.91","9,935.46","75,459.19","33,276.47","30,562.00",,"336,836.03"
Boston Police Department,Police Captain/DDC,"159,603.67","24,423.09","104,610.39","4,281.69","2,520.00","40,971.27","336,410.11"
Boston Police Department,Police Sergeant (Det),"130,930.12","19,672.83","150,490.63",,"1,802.00","32,732.73","335,628.31"
Boston Fire Department,Dep Fire Chief,"201,164.38","9,910.46","52,774.34","19,715.00","49,018.50",,"332,582.68"
Boston Police Department,Lieut-Hackney Carriage Inves.,"139,239.28","20,912.37","41,962.42",,"94,325.00","34,809.82","331,248.89"
Boston Police Department,Police Offc Comm Serv Offc 3$8,"99,906.76","208,143.50","9,654.57",,"2,208.00","9,990.83","329,903.66"
Boston Police Department,Police Captain/DDC,"157,980.06","22,338.83","101,772.10","6,520.76",,"41,125.37","329,737.12"
Boston Police Department,Police Captain/DDC,"164,500.82","24,511.81","88,265.54",,"7,080.00","41,125.37","325,483.54"
Boston Police Department,Police Detective,"105,031.41","4,718.57","109,025.45","2,321.13","79,534.00","24,009.38","324,639.94"
Boston Police Department,Police Sergeant (Det),"127,626.76",800,"88,685.50",,"80,507.00","25,525.56","323,144.82"
Boston Police Department,Police Lieutenant,"144,727.72","13,951.43","59,823.83",,"66,495.00","35,882.50","320,880.48"
Boston Police Department,Police Sergeant (Det),"132,805.89","11,415.97","98,384.42",,"39,379.00","32,732.73","314,718.01"
Boston Police Department,Police Detective,"104,644.14","33,303.87","121,166.02",,"25,208.00","26,161.01","310,483.04"
Boston Police Department,Police Lieutenant (Det),"145,775.26","21,812.67","98,212.52",,"7,755.00","36,444.04","309,999.49"
Boston Police Department,Police Sergeant (Det),"130,930.12","17,363.73","108,854.99",,"19,398.00","32,732.73","309,279.57"
Boston Police Department,Police Sergeant,"126,681.57",850,"94,689.76",,"55,968.00","31,001.39","309,190.72"
Boston Police Department,Police Captain/DDC,"164,500.82","9,741.93","74,047.09",,"19,680.00","41,125.37","309,095.21"
Boston Police Department,Police Sergeant (Det),"133,453.96","18,721.78","82,739.94",,"42,029.00","32,055.69","309,000.37"
Boston Police Department,Police Lieutenant,"141,128.94","21,334.27","101,933.27",,"15,840.00","28,225.80","308,462.28"
Boston Police Department,Police Captain,"124,473.97","7,468.95","43,919.53","40,109.28","50,640.00","41,145.92","307,757.65"
Boston Police Department,Police Officer,"99,101.82",800,"60,044.37",,"126,822.00","19,820.24","306,588.43"
Superintendent,Superintendent,"279,999.98","26,416.08",,,,,"306,416.06"
Boston Police Department,Police Lieutenant,"137,621.98","20,942.12","67,793.04","3,628.49","40,535.00","35,220.61","305,741.24"
