Rating,Date,Review
5,2019-12-13,"To the reviewer below: It's not Yankee Candles fault you ordered a scent u know u hate cuz your drunk & then have the audacity to give the product 1 lousy star, shameful.  With that said let me say I ordered 2 PINK SANDS scented lg . jar candles for office gifts and they were just as perfect a quality as tho bought in an actual Yankee store.  Stickers were straight, no bubbles, no hair as other reviewer tried to claim was case, filled level, wicks even.  If you are wondering about the scent,  I guess I can best describe it as a sweet mix of those strawberry hard candies, with a pinch of a cotton candy ish smell somehow combined with a light beach scent swirled with suntan lotion, sandalwood laden sand anotherwords ... ABSOLUTELY DELISCIOUS and not too summery that u cant can't burn mid January.  Infact, it helps me erase a little winter depression when I burn.One VERY IMPORTANT thing to remember with these candles for longevity is #1 TRIM WICKS down to 1/8 inch and monitor length. If you are seeing black soot on glass, wicks is TOO long. Also, all good candles recommend you light for 2 to 4 hrs at a time, let cool then trim & re - light. If you do this you will have perfect results.Ps. Never burn last inch or two as glass can crack ... *tip: Scrape out last 2 inches or so with butter knife (can put cool candle in freezer for 10 min. first for less mess) and put in a tart/wax warmer or save to use in one later. It smells amazing, gives u a few tarts worth and more bang for your buck, enjoy!!"
5,2020-05-05,"OH. MY. GOD!!!!! I highly recommend that you DO NOT BUY this candle! It is NOT the best damn candle scent you will ever smell in your life! It will NOT bowl you over with its room-filling, DELECTABLE fragrance! You will NOT find yourself inhaling deeply just to breathe more of its scrumptious, juicy, perfectly feminine, fruity-floral deliciousness!!! You won't be wishing that you had this fragrance in a perfume! You won't find yourself FLOATING around your home with your nose in the air, like a cartoon character hypnotically entranced by the wafting scent of sweet, tropical fruits resting on a bed of fresh flowers. And you CERTAINLY won't be RUNNING back here to order another one (or five) of these totally UNamazing candles because you WON'T want one in every room!I hope I've been totally clear. Because I absolutely DON'T have an agenda here, to ensure that there'll be more of these candles available for ME!!!:-D"
1,2018-09-28,"As the title states, I suggest that you do not order candles while you're intoxicated. I hate patchouli so I have no idea why I ordered this candle. I think I liked the name of it and at the time I was searching for a candle to put in my bedroom. I don't think I bothered to read the description of the candle or the reviews, which I normally do, and ordered it simply because of the name and because I like other Yankee Candles. Even though the patchouli is not the main scent, the fact that I noticed it at all was enough for me to dislike it. Also the candle had some hardened bubbles on the top and was not level, like it had melted and was slightly tilted on its side and then hardened in place. Neither of those reasons would have caused me to return this item - just a heads up to anyone who doesn't like either of those things. I am returning only because the smell of this candle does not match my personal scent preferences at all. Ew."
5,2019-01-14,"Full disclosure: I am a Yankee candle devotee. My usual scent of choice is Kitchen Spice, but I ventured out for this one to replace a very expensive Volcano candle someone gifted me for luxurious baths. I was not about to drop $40 on a replacement jar candle, nosirree, so this Yankee candle, on sale of course, fit the bill. The scent is refreshing and sweet, but not too overwhelming, and it reminds me of strolling on the beaches of Hawaii, i.e. heaven. I also love the cute, millennial-pink color, and as always, Yankee candles have many hours of burn in them. I am delighted with this purchase."
1,2018-12-13,"Y’all is NASTY. So I open up the candle and it smells amazing. Then I look and see that there’s a hair on top I though ok that’s gross maybe it’s my dogs hair and went ahead to light the candle and blow the hair away. After lighting the candle I realize to my horror that the hair is embedded in the wax, so I then decide whatever I’ll cut the price of hair out with a knife and the hair is really up in this candle. I ended up being able to pull the rest of the very long piece of hair out of my candle. Was it gross? Yeah. Did I still use the candle? Oh yeah it smells good. But yeah it was gross and who is making these candles??  How on earth do you get you’re long hair embedded in a brand new yankee candle?"
5,2018-02-19,"I bought this candle based off of the reviews from Yankee Candle. It was rated 5 stars. I’m glad I purchased this candle because not only is it beautiful, it gives off the most lovely scent. It’s a clean scent but it has warmth to it. This will def be our go-to spring scent in our home."
5,2018-03-09,"I absolutely love these candles. With the exception of being a little late I'm extremely happy! I was concerned about breakage after reading other reviews. However they came with plenty of packaging security for fragile items to prevent such thing! And as soon as I opened it you got a big wiff of lovely scent. And I've had it lit for a while and the scent has filled the room very nicely. I don't know why other customers had such a bad experience. They came perfect, smell wonderful and I love the pink, it makes the entire candle glow! I'm definitely gonna buy more!"
3,2018-10-06,Yankee mistve changed its formula than the yankee candles I used to buy. No other candle could compare to yankee. One yankee candle would make your entire house smell amazing. This candle doesn’t do that. Its reach doesn’t go past one room but the smell is nice.
2,2017-11-28,Ordered 2 and one arrived glass broken. Very Very little throw. Quality has either gone down on yankee candlesor these are fake. I ordered a few from the Yankee website on Cyber Monday so im going to compare. The scent isnice when you put your nose OVER it. This compared to lighting my Bath&Body candle and within 30 minutes you cansmell it almost throughout a 3000 sq ft home. Village candle and Scentsationals also give good throws.By the way I also tested this and a GLADE candle a quarter of the size in 2 guest bathrooms. After 2 hours  went tocheck and the glade smell was more stronger and evident.
5,2020-06-29,"So many candles have ""beach"" in their title/description, but smell like fruit! But not this one, it actually smells like being on the sandy beach next to the salty ocean. It's like a vacation without leaving the house!"
