ratings,dates,review_text
5,2017-08-27,"If you're a fan of vanilla cakes, ice creams, and puddings, your mouth WILL be watering from this unbelievable, orgasmic scent which fills several rooms.  It's so good I often hesitate to light the candle, knowing that it's going to TORTURE me with its delicious smell.  I think once this candle has been used up, I will definitely buy another one.  This candle alone has earned Yankee Candle a customer for life."
5,2018-09-30,"Great scent that lingers hours after the candle has burnt out. Smells of caramel, brown sugar, freshly baked pastries, rich grain.Yankee Candles tend to be very hit-or-miss in my experience, and when spending so much on a candle it's important to get the right one. I've tried dozens of Yankee Candles and Salted Caramel is one of the top two or three I've experienced and one of the few I've bought more than once. Highly recommended."
5,2019-08-25,"If you like a cinnamon scent with a hint of apple thrown in, then you'll love this candle.  I light this candle and leave it lit all day.  It last a long time. Seller provided fast shipping, I recommend this candle."
1,2019-03-05,"I don’t know why Yankee Candles chose to dramatically reduce, or at times eliminate the scent in their candles. They were reknown for consistently strong scents, that wafted throughout your home, but no longer. I purchased 20 for gifts last Christmas, and no aroma at all could be smelled in 11 of them. Too late to buy other gifts or return them. I had them wrapped and distributed. I still feel guilty. Many Companies risk quality when mass produced for Amazon.I’ll never buy another, anywhere. Without vigilent quality control batch testing, a manufacturer often goes bankrupt. Amazon must educate and inspect quality measures consistently, lest they sale garbage. However, as long as it sells, they could care less."
2,2019-01-18,"I usually have good experience with Yankee Candles.  But 2 of the 3 I bought on Amazon were duds.  Both Sparkling Cinnamon candles only burned about 50% of the wax before the wicks were spent.  I always trimmed the wicks per the instructions on the bottom, but one of them sooted really badly and neither burned properly. On the first, about 1.5 inches from the bottom, the wick burned out because it was folded over and didn't go to the bottom of the candle.  The other one burned with such a low flame that it burned a hole down into the wax without melting half of it.  I've never had this problem with Yankee Candles purchased at a local brick and mortar store for $20+.  Perhaps these $13 units on Amazon are factory rejects?On a positive note, they smelled good.  Just wish I would have gotten them to burn thoroughly.I don't think I'll be buying any more of these off of Amazon."
5,2018-08-24,"Yankee candles are hit or miss for me but this one is a winner.  It smells like a warm creme brûlée, even when it's unlit.  I went out to run errands this afternoon and left the candle uncovered on my kitchen counter.  When I came back an hour later I walked in and immediately smelled this sweet lusciousness.  I thought my husband had lit the candle, but no, it's just so richly scented.  I'm going to order a couple more in case it's discontinued."
5,2020-01-26,"I love,love,love this candle!!! It does not have a good odor, it has an amazing😊😘😊😘one!!! It has a scent just as you'd think cinnamon should smell. My neighbors smoke 🚬 24/7 and it makes me nauseated. I've asked them to please turn on their exhaust, but they don't all time, which I think is rude.  Lighting the one wick (I wish they were two wicks. You know, to make it a stronger strength against the cigarette 🚬. The other Yankee candle has two wicks...the one that goes straight all the way up and doesn't curve inward at the top), but just lighting this candle helps against the cigarette 🚬 smell. I hope this will help you as well!If this review helps you please press the ""helpful"" below I below. I do not get any free or discounted items. I just like to know that I've helped my fellow women and men. Thanks!"
5,2018-09-21,I love this French vanilla Yankee candle.  I look forward to lighting it every time I walk in my door.  It has a very comforting scent and you can smell it throughout my house.  A definite must buy!  Very happy customer!
5,2021-07-02,"I've been a Yankee Candle addict for well over 15 years, and this scent, ""Home Sweet Home,"" is the only one I use year-round!This purchase was delivered a day early and is a REAL Yankee Candle, not fake (believe me, I would know immediately if they were).People have asked me why I always buy the Yankee Candle brand? Because they're more expensive than others. I explain to them that I have bought other ""knockoffs"" to save money before, only to end up getting exactly what I paid for...wasted wax without any scent at the last 1/3 to 1/4 of the jar 😒, so they didn't save me anything.I don't work for the company, but I am a stickler for being well informed, so I know why the Yankee Candles cost more than their competitors... See, other companies only use their scented wax at the top 3/4 or 1/2 of their candle products, the bottom is just colored wax with a hint of scent. This way, they are able to trick the average customer into buying them. Don't get me wrong, at first, they all have great ""throw,"" however, as they burn down, their scent becomes much weaker. Some brands don't even use wicks long enough for their candles, causing them to fizzle out long before they should.Yankee Candle Company uses fully scented wax throughout the entire candle. They also have a high concentration of scented oils, to insure a strong throw of scent, from the first time you light it until it burns all the way down.*** P. S. Make sure you buy the REAL THING, not a cheap knockoff. I noticed that the complaints here are all about the ""Cinnamon Sparkle"" scent. Even though they're listed under the ""Home Sweet Home"" one. I ordered 2 of the ""Home Sweet Home"" scent here, and they're real Yankee Candle brand. If you get a fake one, like some of the other customers, report it to Amazon immediately! Amazon is just a distributor. They'll accept a return, even if your candle is burned to the wick, refund your money, then investigate to persecute the dirty posers!***"
1,2018-12-16,"I don’t think this is a real yankee candle. The wax was filled all the way to the top covering the wicks, making it unusable unless i’m able to scrape the wax away. Further, i noticed that it did not come with a proper Yankee Candle lid.  I attached photos of a real yankee candle next to the one i purchased."
